vehicle_id, count, datetime
v_10, 1, 2019-07-18 17:11:00.046464
v_7, 2, 2019-07-18 17:11:01.062687
v_13, 3, 2019-07-18 17:11:05.987862
v_19, 4, 2019-07-18 17:11:15.159507
v_32, 5, 2019-07-18 17:11:38.149477
v_56, 6, 2019-07-18 17:11:49.492533
v_72, 7, 2019-07-18 17:11:52.046667
v_81, 8, 2019-07-18 17:11:54.891742
v_112, 9, 2019-07-18 17:12:07.038894
v_116, 10, 2019-07-18 17:12:08.367450
v_119, 11, 2019-07-18 17:12:14.260074
v_130, 12, 2019-07-18 17:12:17.862687
v_146, 13, 2019-07-18 17:12:24.507344
v_154, 14, 2019-07-18 17:12:28.785586
v_160, 15, 2019-07-18 17:12:30.528149
v_166, 16, 2019-07-18 17:12:35.976557
v_180, 17, 2019-07-18 17:13:18.238304
v_186, 18, 2019-07-18 17:13:29.747139
v_189, 19, 2019-07-18 17:13:30.638681
v_195, 20, 2019-07-18 17:13:38.055414
v_202, 21, 2019-07-18 17:13:45.056936
v_206, 22, 2019-07-18 17:13:46.393169
v_210, 23, 2019-07-18 17:13:49.489059
v_216, 24, 2019-07-18 17:13:57.747610
v_223, 25, 2019-07-18 17:14:19.346006
v_276, 26, 2019-07-18 17:15:16.858359
v_282, 27, 2019-07-18 17:15:24.023505
v_285, 28, 2019-07-18 17:15:26.652789
v_291, 29, 2019-07-18 17:15:33.921751
