vehicle_id, count, datetime
v_2, 1, 2019-07-18 18:58:24.976859
v_9, 2, 2019-07-18 18:58:33.512910
v_27, 3, 2019-07-18 18:59:13.224092
v_34, 4, 2019-07-18 18:59:35.315972
v_38, 5, 2019-07-18 18:59:48.493959
v_42, 6, 2019-07-18 18:59:59.547147
v_46, 7, 2019-07-18 19:00:15.639322
v_56, 8, 2019-07-18 19:00:34.409115
v_64, 9, 2019-07-18 19:00:39.032525
v_70, 10, 2019-07-18 19:00:42.393507
v_88, 11, 2019-07-18 19:00:56.132868
v_95, 12, 2019-07-18 19:01:02.207172
v_99, 13, 2019-07-18 19:01:10.742008
v_105, 14, 2019-07-18 19:01:15.080506
v_110, 15, 2019-07-18 19:01:15.693001
v_115, 16, 2019-07-18 19:01:19.430012
v_116, 17, 2019-07-18 19:01:22.023550
v_120, 18, 2019-07-18 19:01:25.275156
v_121, 19, 2019-07-18 19:01:25.846380
v_125, 20, 2019-07-18 19:01:29.150786
v_127, 21, 2019-07-18 19:01:29.684713
v_131, 22, 2019-07-18 19:01:34.850983
v_136, 23, 2019-07-18 19:01:50.241791
v_143, 24, 2019-07-18 19:02:20.518772
v_147, 25, 2019-07-18 19:02:34.520789
v_155, 26, 2019-07-18 19:02:36.271723
v_170, 27, 2019-07-18 19:02:43.074684
v_181, 28, 2019-07-18 19:02:46.682319
v_182, 29, 2019-07-18 19:02:48.103410
v_190, 30, 2019-07-18 19:02:53.291175
