vehicle_id, count, datetime
v_15, 1, 2019-07-18 17:01:09.626116
v_21, 2, 2019-07-18 17:01:16.122302
v_41, 3, 2019-07-18 17:02:03.663474
v_45, 4, 2019-07-18 17:02:05.417985
v_56, 5, 2019-07-18 17:02:08.944216
v_71, 6, 2019-07-18 17:02:23.285658
v_77, 7, 2019-07-18 17:02:26.404494
v_92, 8, 2019-07-18 17:03:09.275701
v_109, 9, 2019-07-18 17:03:29.920262
v_113, 10, 2019-07-18 17:03:32.804943
v_114, 11, 2019-07-18 17:03:33.146824
v_137, 12, 2019-07-18 17:04:05.475230
v_142, 13, 2019-07-18 17:04:05.935329
v_160, 14, 2019-07-18 17:04:37.187603
v_164, 15, 2019-07-18 17:04:37.640774
v_184, 16, 2019-07-18 17:05:04.177575
v_200, 17, 2019-07-18 17:05:20.220870
