vehicle_id, count, datetime
v_1, 1, 2019-12-15 14:23:09.493751
v_2, 2, 2019-12-15 14:23:09.498970
v_3, 3, 2019-12-15 14:23:30.901552
v_4, 4, 2019-12-15 14:24:44.447012
v_7, 5, 2019-12-15 14:25:04.443008
v_8, 6, 2019-12-15 14:25:27.798330
v_11, 7, 2019-12-15 14:25:38.793287
v_17, 8, 2019-12-15 14:28:41.446335
v_18, 9, 2019-12-15 14:28:46.733745
v_19, 10, 2019-12-15 14:29:00.740759
v_20, 11, 2019-12-15 14:29:15.927470
v_21, 12, 2019-12-15 14:29:27.457479
v_22, 13, 2019-12-15 14:29:37.582186
v_23, 14, 2019-12-15 14:29:51.232095
v_24, 15, 2019-12-15 14:30:02.923101
v_26, 16, 2019-12-15 14:30:19.100605
v_27, 17, 2019-12-15 14:30:39.534180
v_28, 18, 2019-12-15 14:31:01.202060
v_29, 19, 2019-12-15 14:31:13.318982
v_32, 20, 2019-12-15 14:31:42.265492
v_31, 21, 2019-12-15 14:31:46.622376
v_33, 22, 2019-12-15 14:32:03.375122
v_34, 23, 2019-12-15 14:32:20.370061
v_36, 24, 2019-12-15 14:33:38.043169
v_37, 25, 2019-12-15 14:33:50.460435
v_38, 26, 2019-12-15 14:34:07.714071
v_39, 27, 2019-12-15 14:34:30.543538
v_43, 28, 2019-12-15 14:35:36.310601
v_50, 29, 2019-12-15 14:38:05.936040
v_52, 30, 2019-12-15 14:38:19.348873
v_53, 31, 2019-12-15 14:38:28.877979
v_54, 32, 2019-12-15 14:38:39.241919
v_56, 33, 2019-12-15 14:38:53.165477
v_57, 34, 2019-12-15 14:39:06.942169
v_58, 35, 2019-12-15 14:39:18.739457
v_60, 36, 2019-12-15 14:40:00.821841
v_64, 37, 2019-12-15 14:41:35.340274
v_66, 38, 2019-12-15 14:42:24.057063
v_70, 39, 2019-12-15 14:44:20.734907
v_71, 40, 2019-12-15 14:44:28.263162
v_72, 41, 2019-12-15 14:44:46.556795
v_73, 42, 2019-12-15 14:45:19.113450
