vehicle_id, count, datetime
v_1, 1, 2019-07-18 16:28:57.010471
v_4, 2, 2019-07-18 16:29:03.316523
v_15, 3, 2019-07-18 16:29:10.333034
v_37, 4, 2019-07-18 16:29:45.961469
v_45, 5, 2019-07-18 16:30:11.918579
v_57, 6, 2019-07-18 16:30:28.969793
v_97, 7, 2019-07-18 16:31:11.680472
v_113, 8, 2019-07-18 16:31:38.882770
v_122, 9, 2019-07-18 16:31:45.619263
v_125, 10, 2019-07-18 16:31:47.808824
v_132, 11, 2019-07-18 16:31:57.212650
v_176, 12, 2019-07-18 16:33:04.719493
v_181, 13, 2019-07-18 16:33:08.046973
v_180, 14, 2019-07-18 16:33:09.996593
v_184, 15, 2019-07-18 16:33:15.048545
v_190, 16, 2019-07-18 16:33:23.390739
v_200, 17, 2019-07-18 16:33:28.865513
