vehicle_id, count, datetime
v_18, 1, 2019-07-18 16:17:01.303419
v_55, 2, 2019-07-18 16:17:20.495103
v_64, 3, 2019-07-18 16:17:30.070824
v_83, 4, 2019-07-18 16:17:38.157391
v_92, 5, 2019-07-18 16:17:40.520874
v_93, 6, 2019-07-18 16:17:42.073556
v_104, 7, 2019-07-18 16:17:46.168094
v_110, 8, 2019-07-18 16:17:52.204834
v_141, 9, 2019-07-18 16:18:14.594420
v_151, 10, 2019-07-18 16:18:19.685951
v_155, 11, 2019-07-18 16:18:20.040271
v_157, 12, 2019-07-18 16:18:24.768993
v_164, 13, 2019-07-18 16:18:28.243227
v_169, 14, 2019-07-18 16:18:29.715336
v_182, 15, 2019-07-18 16:18:32.804451
v_184, 16, 2019-07-18 16:18:34.046360
v_186, 17, 2019-07-18 16:18:35.910565
v_189, 18, 2019-07-18 16:18:41.892073
v_199, 19, 2019-07-18 16:18:58.438246
v_207, 20, 2019-07-18 16:19:12.208769
v_221, 21, 2019-07-18 16:19:18.633210
v_229, 22, 2019-07-18 16:19:27.630094
v_235, 23, 2019-07-18 16:19:31.017983
v_242, 24, 2019-07-18 16:19:34.441609
v_244, 25, 2019-07-18 16:19:35.452242
v_251, 26, 2019-07-18 16:19:39.178060
v_253, 27, 2019-07-18 16:19:42.178297
