vehicle_id, count, datetime
v_3, 1, 2019-07-18 18:26:25.241507
v_5, 2, 2019-07-18 18:26:26.798190
v_6, 3, 2019-07-18 18:26:31.884842
v_19, 4, 2019-07-18 18:26:38.896884
v_22, 5, 2019-07-18 18:26:39.253798
v_21, 6, 2019-07-18 18:26:41.897497
v_23, 7, 2019-07-18 18:26:44.731154
v_29, 8, 2019-07-18 18:27:05.653364
v_40, 9, 2019-07-18 18:27:27.054612
v_47, 10, 2019-07-18 18:27:37.018404
v_61, 11, 2019-07-18 18:27:46.538618
v_64, 12, 2019-07-18 18:27:53.465992
v_67, 13, 2019-07-18 18:27:53.938908
v_83, 14, 2019-07-18 18:28:03.949830
v_100, 15, 2019-07-18 18:28:48.474681
v_114, 16, 2019-07-18 18:29:05.341398
v_116, 17, 2019-07-18 18:29:11.302365
v_123, 18, 2019-07-18 18:29:22.690409
v_128, 19, 2019-07-18 18:29:27.233386
v_140, 20, 2019-07-18 18:29:34.254466
v_141, 21, 2019-07-18 18:29:34.832403
v_142, 22, 2019-07-18 18:29:38.076264
v_149, 23, 2019-07-18 18:29:44.179356
v_152, 24, 2019-07-18 18:29:53.256801
v_193, 25, 2019-07-18 18:30:48.850807
v_195, 26, 2019-07-18 18:30:49.183424
v_201, 27, 2019-07-18 18:30:53.743954
