vehicle_id, count, datetime
v_2, 1, 2019-07-18 18:17:22.171385
v_3, 2, 2019-07-18 18:17:24.258514
v_7, 3, 2019-07-18 18:17:27.171843
v_10, 4, 2019-07-18 18:17:35.266024
v_21, 5, 2019-07-18 18:18:12.435049
v_30, 6, 2019-07-18 18:18:29.863424
v_33, 7, 2019-07-18 18:18:32.508969
v_51, 8, 2019-07-18 18:18:54.221996
v_62, 9, 2019-07-18 18:19:43.189490
v_67, 10, 2019-07-18 18:19:55.349229
v_88, 11, 2019-07-18 18:20:15.561102
v_98, 12, 2019-07-18 18:20:18.545556
v_94, 13, 2019-07-18 18:20:21.983621
v_105, 14, 2019-07-18 18:20:28.707116
v_114, 15, 2019-07-18 18:20:30.618283
v_111, 16, 2019-07-18 18:20:32.276589
v_141, 17, 2019-07-18 18:21:14.032936
v_145, 18, 2019-07-18 18:21:28.053960
v_150, 19, 2019-07-18 18:21:34.711694
