vehicle_id, count, datetime
v_1, 1, 2019-07-18 14:55:12.988245
v_14, 2, 2019-07-18 14:56:11.048607
v_28, 3, 2019-07-18 14:56:21.418617
v_26, 4, 2019-07-18 14:56:22.406394
v_27, 5, 2019-07-18 14:56:24.277204
v_31, 6, 2019-07-18 14:56:25.706455
v_45, 7, 2019-07-18 14:56:37.320415
v_49, 8, 2019-07-18 14:56:42.892360
v_60, 9, 2019-07-18 14:56:49.293130
v_59, 10, 2019-07-18 14:56:50.166667
v_74, 11, 2019-07-18 14:57:31.621344
v_77, 12, 2019-07-18 14:57:32.165622
v_92, 13, 2019-07-18 14:58:01.337980
v_94, 14, 2019-07-18 14:58:05.355550
v_97, 15, 2019-07-18 14:58:09.854573
v_100, 16, 2019-07-18 14:58:12.871711
v_104, 17, 2019-07-18 14:58:16.189815
v_136, 18, 2019-07-18 14:59:24.386229
v_146, 19, 2019-07-18 14:59:26.202504
v_150, 20, 2019-07-18 14:59:29.923605
v_156, 21, 2019-07-18 14:59:33.472643
v_157, 22, 2019-07-18 14:59:33.821683
