vehicle_id, count, datetime
v_3, 1, 2019-07-18 19:37:52.718680
v_1, 2, 2019-07-18 19:37:53.563663
v_8, 3, 2019-07-18 19:37:57.905050
v_13, 4, 2019-07-18 19:38:27.071382
v_23, 5, 2019-07-18 19:38:45.548497
v_69, 6, 2019-07-18 19:39:27.764644
v_70, 7, 2019-07-18 19:39:30.941860
v_72, 8, 2019-07-18 19:39:34.353267
v_79, 9, 2019-07-18 19:39:53.420758
v_83, 10, 2019-07-18 19:39:55.503333
v_85, 11, 2019-07-18 19:39:58.963634
v_88, 12, 2019-07-18 19:40:40.782719
v_93, 13, 2019-07-18 19:40:49.185293
v_107, 14, 2019-07-18 19:41:14.965743
v_116, 15, 2019-07-18 19:41:24.613096
v_133, 16, 2019-07-18 19:41:30.062486
v_136, 17, 2019-07-18 19:41:39.653821
v_154, 18, 2019-07-18 19:41:48.802268
v_165, 19, 2019-07-18 19:42:40.009812
v_167, 20, 2019-07-18 19:42:43.011163
v_169, 21, 2019-07-18 19:42:44.709999
v_174, 22, 2019-07-18 19:43:02.901479
v_177, 23, 2019-07-18 19:43:07.143374
v_182, 24, 2019-07-18 19:43:09.167559
v_185, 25, 2019-07-18 19:43:11.645194
v_194, 26, 2019-07-18 19:43:20.428727
