vehicle_id, count, datetime
v_24, 1, 2019-07-18 15:52:29.463289
v_28, 2, 2019-07-18 15:52:38.219646
v_35, 3, 2019-07-18 15:52:49.454650
v_46, 4, 2019-07-18 15:53:07.138258
v_55, 5, 2019-07-18 15:53:13.350724
v_56, 6, 2019-07-18 15:53:15.025613
v_94, 7, 2019-07-18 15:53:49.887017
v_101, 8, 2019-07-18 15:54:01.208970
v_103, 9, 2019-07-18 15:54:03.918873
v_111, 10, 2019-07-18 15:54:25.279132
v_116, 11, 2019-07-18 15:54:39.622702
v_138, 12, 2019-07-18 15:55:09.829556
v_146, 13, 2019-07-18 15:55:15.176737
v_152, 14, 2019-07-18 15:55:16.777453
v_177, 15, 2019-07-18 15:55:21.918682
v_181, 16, 2019-07-18 15:55:22.037891
v_196, 17, 2019-07-18 15:55:27.648186
v_223, 18, 2019-07-18 15:56:14.693582
v_224, 19, 2019-07-18 15:56:16.687352
v_233, 20, 2019-07-18 15:56:22.353916
