vehicle_id, count, datetime
v_7, 1, 2019-07-18 15:34:54.482150
v_4, 2, 2019-07-18 15:34:57.579180
v_13, 3, 2019-07-18 15:35:00.920140
v_18, 4, 2019-07-18 15:35:04.400651
v_24, 5, 2019-07-18 15:35:07.899183
v_27, 6, 2019-07-18 15:35:14.692970
v_34, 7, 2019-07-18 15:35:21.580002
v_107, 8, 2019-07-18 15:36:28.313455
v_113, 9, 2019-07-18 15:36:31.064969
v_112, 10, 2019-07-18 15:36:32.875815
v_116, 11, 2019-07-18 15:36:37.227950
v_128, 12, 2019-07-18 15:36:40.186025
v_141, 13, 2019-07-18 15:36:47.268297
v_148, 14, 2019-07-18 15:36:53.433063
v_156, 15, 2019-07-18 15:36:56.087843
v_159, 16, 2019-07-18 15:37:06.792747
v_173, 17, 2019-07-18 15:37:45.873921
v_185, 18, 2019-07-18 15:37:50.916412
v_198, 19, 2019-07-18 15:37:58.219715
v_204, 20, 2019-07-18 15:38:06.573446
v_208, 21, 2019-07-18 15:38:15.108876
v_232, 22, 2019-07-18 15:38:58.263016
v_238, 23, 2019-07-18 15:39:19.721599
v_245, 24, 2019-07-18 15:39:25.583280
v_249, 25, 2019-07-18 15:39:30.082707
