vehicle_id, count, datetime
v_4, 1, 2019-07-18 15:07:02.572616
v_5, 2, 2019-07-18 15:07:03.873707
v_41, 3, 2019-07-18 15:07:34.617582
v_44, 4, 2019-07-18 15:07:40.052576
v_54, 5, 2019-07-18 15:07:49.841938
v_57, 6, 2019-07-18 15:07:53.332063
v_64, 7, 2019-07-18 15:08:15.643589
v_62, 8, 2019-07-18 15:08:17.089652
v_67, 9, 2019-07-18 15:08:21.307595
v_70, 10, 2019-07-18 15:08:23.874429
v_75, 11, 2019-07-18 15:08:29.970289
v_82, 12, 2019-07-18 15:08:32.881420
v_88, 13, 2019-07-18 15:08:35.649925
v_92, 14, 2019-07-18 15:08:39.037205
v_95, 15, 2019-07-18 15:08:41.197352
v_98, 16, 2019-07-18 15:08:45.259495
v_101, 17, 2019-07-18 15:08:47.697112
v_104, 18, 2019-07-18 15:08:58.234514
v_118, 19, 2019-07-18 15:09:22.570662
v_132, 20, 2019-07-18 15:09:34.385991
v_141, 21, 2019-07-18 15:09:40.892582
v_150, 22, 2019-07-18 15:09:53.459003
v_154, 23, 2019-07-18 15:09:57.973429
v_157, 24, 2019-07-18 15:10:02.237507
v_160, 25, 2019-07-18 15:10:10.189851
v_171, 26, 2019-07-18 15:10:21.317034
v_177, 27, 2019-07-18 15:10:25.561495
v_182, 28, 2019-07-18 15:10:28.877990
v_189, 29, 2019-07-18 15:10:32.519371
v_191, 30, 2019-07-18 15:10:35.379839
v_202, 31, 2019-07-18 15:11:00.067352
v_205, 32, 2019-07-18 15:11:03.476734
v_230, 33, 2019-07-18 15:11:33.279828
v_244, 34, 2019-07-18 15:11:38.250428
v_243, 35, 2019-07-18 15:11:38.941132
v_246, 36, 2019-07-18 15:11:41.319511
