vehicle_id, count, datetime
v_2, 1, 2019-07-18 19:06:02.440951
v_9, 2, 2019-07-18 19:06:17.123578
v_12, 3, 2019-07-18 19:06:24.021880
v_18, 4, 2019-07-18 19:06:53.805492
v_25, 5, 2019-07-18 19:07:04.319891
v_36, 6, 2019-07-18 19:07:21.527496
v_44, 7, 2019-07-18 19:07:23.644988
v_53, 8, 2019-07-18 19:07:26.479835
v_78, 9, 2019-07-18 19:07:40.797160
v_89, 10, 2019-07-18 19:07:49.335641
v_6, 11, 2019-07-18 19:08:06.947851
v_115, 12, 2019-07-18 19:08:11.650692
v_129, 13, 2019-07-18 19:08:53.698613
v_131, 14, 2019-07-18 19:08:57.472815
v_142, 15, 2019-07-18 19:09:10.365461
v_159, 16, 2019-07-18 19:10:12.016314
v_167, 17, 2019-07-18 19:10:21.103379
v_170, 18, 2019-07-18 19:10:24.166169
v_176, 19, 2019-07-18 19:10:25.078358
