vehicle_id, count, datetime
v_2, 1, 2019-07-18 19:02:55.590515
v_3, 2, 2019-07-18 19:02:59.568620
v_6, 3, 2019-07-18 19:03:02.383173
v_11, 4, 2019-07-18 19:03:06.303739
v_19, 5, 2019-07-18 19:03:09.912282
v_26, 6, 2019-07-18 19:03:17.009331
v_79, 7, 2019-07-18 19:03:45.635248
v_88, 8, 2019-07-18 19:03:53.799114
v_94, 9, 2019-07-18 19:03:57.110032
v_99, 10, 2019-07-18 19:04:02.902168
v_110, 11, 2019-07-18 19:04:05.350256
v_107, 12, 2019-07-18 19:04:07.256339
v_114, 13, 2019-07-18 19:04:10.380198
v_125, 14, 2019-07-18 19:04:25.327524
v_132, 15, 2019-07-18 19:04:26.971388
v_139, 16, 2019-07-18 19:04:30.655185
v_141, 17, 2019-07-18 19:04:31.925497
v_143, 18, 2019-07-18 19:04:32.448105
v_171, 19, 2019-07-18 19:04:39.148816
v_176, 20, 2019-07-18 19:04:42.313351
v_195, 21, 2019-07-18 19:04:51.911035
v_203, 22, 2019-07-18 19:05:40.157683
v_206, 23, 2019-07-18 19:05:42.431057
v_214, 24, 2019-07-18 19:05:47.734059
