vehicle_id, count, datetime
v_5, 1, 2019-07-18 15:47:24.183350
v_3, 2, 2019-07-18 15:47:26.249636
v_9, 3, 2019-07-18 15:47:32.420493
v_12, 4, 2019-07-18 15:47:38.661583
v_20, 5, 2019-07-18 15:48:07.614166
v_51, 6, 2019-07-18 15:48:35.188569
v_54, 7, 2019-07-18 15:48:36.013388
v_63, 8, 2019-07-18 15:48:41.693875
v_62, 9, 2019-07-18 15:48:44.062037
v_67, 10, 2019-07-18 15:48:45.168314
v_76, 11, 2019-07-18 15:48:50.997359
v_87, 12, 2019-07-18 15:49:09.176020
v_90, 13, 2019-07-18 15:49:14.206911
v_98, 14, 2019-07-18 15:49:17.157438
v_97, 15, 2019-07-18 15:49:19.087103
v_103, 16, 2019-07-18 15:49:41.154051
v_112, 17, 2019-07-18 15:49:49.613435
v_119, 18, 2019-07-18 15:50:00.518531
v_128, 19, 2019-07-18 15:50:06.413124
v_148, 20, 2019-07-18 15:50:15.948743
v_151, 21, 2019-07-18 15:50:19.091084
v_162, 22, 2019-07-18 15:50:25.536505
v_172, 23, 2019-07-18 15:50:53.953567
v_173, 24, 2019-07-18 15:50:54.323264
v_180, 25, 2019-07-18 15:51:23.832784
v_179, 26, 2019-07-18 15:51:25.286277
v_188, 27, 2019-07-18 15:51:45.888508
v_196, 28, 2019-07-18 15:51:53.462169
v_203, 29, 2019-07-18 15:52:02.468008
v_204, 30, 2019-07-18 15:52:04.100369
v_212, 31, 2019-07-18 15:52:07.429401
