vehicle_id, count, datetime
v_1, 1, 2019-12-17 16:11:54.252277
v_2, 2, 2019-12-17 16:12:21.375594
v_7, 3, 2019-12-17 16:12:34.552099
v_9, 4, 2019-12-17 16:12:53.359722
v_10, 5, 2019-12-17 16:13:08.516274
v_17, 6, 2019-12-17 16:13:13.932580
v_18, 7, 2019-12-17 16:13:34.927957
v_19, 8, 2019-12-17 16:14:33.694153
v_21, 9, 2019-12-17 16:14:50.577626
v_22, 10, 2019-12-17 16:15:04.872690
v_23, 11, 2019-12-17 16:15:11.055161
v_28, 12, 2019-12-17 16:15:59.812476
v_37, 13, 2019-12-17 16:17:57.174346
v_38, 14, 2019-12-17 16:18:05.382184
v_40, 15, 2019-12-17 16:18:13.707226
v_44, 16, 2019-12-17 16:18:28.845060
v_46, 17, 2019-12-17 16:19:13.753836
v_49, 18, 2019-12-17 16:19:25.879805
v_52, 19, 2019-12-17 16:19:35.742483
v_56, 20, 2019-12-17 16:19:48.214735
v_57, 21, 2019-12-17 16:19:54.249219
v_60, 22, 2019-12-17 16:20:11.613977
v_62, 23, 2019-12-17 16:20:15.140378
v_64, 24, 2019-12-17 16:21:38.203764
v_65, 25, 2019-12-17 16:21:50.792707
v_66, 26, 2019-12-17 16:21:57.770034
v_67, 27, 2019-12-17 16:22:05.687302
v_68, 28, 2019-12-17 16:22:12.647102
v_71, 29, 2019-12-17 16:22:18.584311
v_76, 30, 2019-12-17 16:22:51.921522
v_77, 31, 2019-12-17 16:23:20.178693
v_83, 32, 2019-12-17 16:23:44.262703
v_84, 33, 2019-12-17 16:23:48.577547
v_87, 34, 2019-12-17 16:24:07.758741
v_89, 35, 2019-12-17 16:24:20.774437
