vehicle_id, count, datetime
v_3, 1, 2019-07-18 19:14:18.979167
v_1, 2, 2019-07-18 19:14:19.190803
v_6, 3, 2019-07-18 19:14:20.755119
v_18, 4, 2019-07-18 19:14:35.416928
v_27, 5, 2019-07-18 19:14:40.068431
v_32, 6, 2019-07-18 19:14:43.566973
v_33, 7, 2019-07-18 19:14:45.369421
v_44, 8, 2019-07-18 19:14:55.142618
v_56, 9, 2019-07-18 19:15:47.052553
v_66, 10, 2019-07-18 19:15:51.272047
v_68, 11, 2019-07-18 19:15:51.625786
v_70, 12, 2019-07-18 19:15:54.620099
v_73, 13, 2019-07-18 19:15:56.494976
v_85, 14, 2019-07-18 19:16:09.826735
v_91, 15, 2019-07-18 19:16:16.050729
v_99, 16, 2019-07-18 19:16:19.186922
v_100, 17, 2019-07-18 19:16:19.195061
v_102, 18, 2019-07-18 19:16:23.622508
v_104, 19, 2019-07-18 19:16:28.940946
v_152, 20, 2019-07-18 19:17:23.840404
v_170, 21, 2019-07-18 19:17:37.848453
v_172, 22, 2019-07-18 19:17:41.337703
v_175, 23, 2019-07-18 19:17:44.385621
v_180, 24, 2019-07-18 19:17:47.680733
v_186, 25, 2019-07-18 19:18:01.022275
v_191, 26, 2019-07-18 19:18:10.407453
v_207, 27, 2019-07-18 19:18:15.308513
v_203, 28, 2019-07-18 19:18:17.911178
v_211, 29, 2019-07-18 19:18:22.087201
v_216, 30, 2019-07-18 19:18:23.200143
v_221, 31, 2019-07-18 19:18:29.461106
v_217, 32, 2019-07-18 19:18:29.843429
v_220, 33, 2019-07-18 19:18:32.697501
v_222, 34, 2019-07-18 19:18:33.085967
v_236, 35, 2019-07-18 19:18:54.819250
v_237, 36, 2019-07-18 19:18:59.820767
v_242, 37, 2019-07-18 19:19:06.542135
v_258, 38, 2019-07-18 19:19:24.367172
v_261, 39, 2019-07-18 19:19:25.526785
v_264, 40, 2019-07-18 19:19:27.776827
v_267, 41, 2019-07-18 19:19:30.049414
v_270, 42, 2019-07-18 19:19:32.509901
v_276, 43, 2019-07-18 19:19:37.158407
v_277, 44, 2019-07-18 19:19:43.747529
