vehicle_id, count, datetime
v_5, 1, 2019-07-18 16:23:56.259489
v_12, 2, 2019-07-18 16:23:59.146887
v_17, 3, 2019-07-18 16:24:02.815120
v_24, 4, 2019-07-18 16:24:11.703572
v_48, 5, 2019-07-18 16:24:55.058563
v_51, 6, 2019-07-18 16:24:58.397530
v_56, 7, 2019-07-18 16:25:15.418754
v_64, 8, 2019-07-18 16:25:28.689582
v_69, 9, 2019-07-18 16:25:36.627147
v_92, 10, 2019-07-18 16:26:24.761318
v_94, 11, 2019-07-18 16:26:30.611995
v_105, 12, 2019-07-18 16:26:46.832851
v_104, 13, 2019-07-18 16:26:48.347032
v_128, 14, 2019-07-18 16:27:03.062624
v_142, 15, 2019-07-18 16:27:08.293783
v_147, 16, 2019-07-18 16:27:13.118530
v_154, 17, 2019-07-18 16:27:22.303382
v_158, 18, 2019-07-18 16:27:27.930573
v_166, 19, 2019-07-18 16:27:31.668248
v_176, 20, 2019-07-18 16:28:06.198166
v_196, 21, 2019-07-18 16:28:19.705194
v_214, 22, 2019-07-18 16:28:35.707632
v_223, 23, 2019-07-18 16:28:39.341483
v_228, 24, 2019-07-18 16:28:45.844640
