vehicle_id, count, datetime
v_3, 1, 2019-07-18 14:42:53.442714
v_4, 2, 2019-07-18 14:42:55.650243
v_7, 3, 2019-07-18 14:43:05.344412
v_13, 4, 2019-07-18 14:43:21.143351
v_33, 5, 2019-07-18 14:43:42.742919
v_37, 6, 2019-07-18 14:43:44.596918
v_46, 7, 2019-07-18 14:43:46.035403
v_49, 8, 2019-07-18 14:43:48.220800
v_52, 9, 2019-07-18 14:43:51.526388
v_54, 10, 2019-07-18 14:43:53.604797
v_57, 11, 2019-07-18 14:43:57.924073
v_70, 12, 2019-07-18 14:44:16.322652
v_74, 13, 2019-07-18 14:44:19.751744
v_81, 14, 2019-07-18 14:44:31.963864
v_83, 15, 2019-07-18 14:44:35.775645
v_87, 16, 2019-07-18 14:45:01.228779
v_97, 17, 2019-07-18 14:45:27.892285
v_108, 18, 2019-07-18 14:45:34.235887
v_112, 19, 2019-07-18 14:45:37.474019
v_116, 20, 2019-07-18 14:45:41.234294
v_130, 21, 2019-07-18 14:46:11.664295
v_135, 22, 2019-07-18 14:46:19.765040
v_141, 23, 2019-07-18 14:46:32.487789
v_143, 24, 2019-07-18 14:46:40.699197
