vehicle_id, count, datetime
v_2, 1, 2019-07-18 12:45:28.722381
v_4, 2, 2019-07-18 12:45:37.451279
v_11, 3, 2019-07-18 12:47:13.732463
v_15, 4, 2019-07-18 12:47:21.265211
v_17, 5, 2019-07-18 12:48:14.698245
v_20, 6, 2019-07-18 12:48:54.531394
v_31, 7, 2019-07-18 12:50:42.747194
v_36, 8, 2019-07-18 12:50:59.848615
v_43, 9, 2019-07-18 12:52:21.870967
v_46, 10, 2019-07-18 12:52:25.243428
v_47, 11, 2019-07-18 12:52:36.008341
v_51, 12, 2019-07-18 12:52:53.049135
v_53, 13, 2019-07-18 12:53:02.735583
v_60, 14, 2019-07-18 12:54:58.273521
v_64, 15, 2019-07-18 12:55:52.727275
