vehicle_id, count, datetime
v_1, 1, 2019-11-20 14:27:48.357566
v_2, 2, 2019-11-20 14:27:48.358105
v_7, 3, 2019-11-20 14:28:58.265836
v_24, 4, 2019-11-20 14:30:41.801026
v_27, 5, 2019-11-20 14:31:11.426027
v_31, 6, 2019-11-20 14:31:44.266209
v_32, 7, 2019-11-20 14:31:45.313203
v_45, 8, 2019-11-20 14:31:58.127233
v_59, 9, 2019-11-20 14:32:10.930795
v_61, 10, 2019-11-20 14:32:15.899797
v_67, 11, 2019-11-20 14:32:39.563348
v_89, 12, 2019-11-20 14:33:39.637129
v_91, 13, 2019-11-20 14:33:42.230831
v_99, 14, 2019-11-20 14:33:50.480399
v_101, 15, 2019-11-20 14:33:52.821476
v_108, 16, 2019-11-20 14:33:59.820862
v_122, 17, 2019-11-20 14:34:15.252964
v_125, 18, 2019-11-20 14:34:20.958483
v_140, 19, 2019-11-20 14:35:07.780152
v_146, 20, 2019-11-20 14:35:19.519759
v_154, 21, 2019-11-20 14:35:33.473674
v_155, 22, 2019-11-20 14:35:34.583882
v_156, 23, 2019-11-20 14:35:41.776642
v_159, 24, 2019-11-20 14:36:14.877304
v_161, 25, 2019-11-20 14:36:19.336243
v_164, 26, 2019-11-20 14:36:33.475062
v_175, 27, 2019-11-20 14:37:03.682612
v_179, 28, 2019-11-20 14:37:13.579992
v_180, 29, 2019-11-20 14:37:26.051521
v_182, 30, 2019-11-20 14:37:46.367546
