vehicle_id, count, datetime
v_1, 1, 2019-07-17 00:13:55.179450
v_6, 2, 2019-07-17 00:14:02.075581
v_17, 3, 2019-07-17 00:15:14.332397
v_23, 4, 2019-07-17 00:15:38.195395
v_25, 5, 2019-07-17 00:15:53.118034
v_41, 6, 2019-07-17 00:16:52.884759
v_44, 7, 2019-07-17 00:16:56.704481
v_50, 8, 2019-07-17 00:17:14.665726
v_64, 9, 2019-07-17 00:17:27.768689
v_97, 10, 2019-07-17 00:19:26.428091
v_106, 11, 2019-07-17 00:20:52.179779
v_135, 12, 2019-07-17 00:22:20.230376
v_143, 13, 2019-07-17 00:22:31.628109
v_152, 14, 2019-07-17 00:22:40.076934
v_156, 15, 2019-07-17 00:22:51.991539
v_158, 16, 2019-07-17 00:23:00.612923
v_162, 17, 2019-07-17 00:23:42.743522
v_177, 18, 2019-07-17 00:25:23.016837
v_179, 19, 2019-07-17 00:25:27.214625
v_184, 20, 2019-07-17 00:25:34.143136
v_188, 21, 2019-07-17 00:25:41.170879
