vehicle_id, count, datetime
v_1, 1, 2019-11-25 15:13:28.147501
v_2, 2, 2019-11-25 15:13:37.320336
v_4, 3, 2019-11-25 15:13:49.795446
v_8, 4, 2019-11-25 15:14:05.035666
v_10, 5, 2019-11-25 15:14:11.699716
v_15, 6, 2019-11-25 15:14:35.146860
v_17, 7, 2019-11-25 15:14:40.299237
v_19, 8, 2019-11-25 15:14:48.129156
v_20, 9, 2019-11-25 15:14:50.492544
v_23, 10, 2019-11-25 15:14:54.919987
v_27, 11, 2019-11-25 15:15:21.534768
v_30, 12, 2019-11-25 15:15:31.478167
v_31, 13, 2019-11-25 15:15:36.055084
v_39, 14, 2019-11-25 15:17:20.933741
v_41, 15, 2019-11-25 15:17:25.820568
v_45, 16, 2019-11-25 15:17:37.394432
v_46, 17, 2019-11-25 15:17:46.753337
v_48, 18, 2019-11-25 15:17:57.143875
v_50, 19, 2019-11-25 15:18:38.981242
v_51, 20, 2019-11-25 15:18:53.995492
v_56, 21, 2019-11-25 15:19:06.208627
v_59, 22, 2019-11-25 15:19:53.820157
v_61, 23, 2019-11-25 15:20:02.570707
v_74, 24, 2019-11-25 15:24:18.443015
v_78, 25, 2019-11-25 15:24:55.773237
