vehicle_id, count, datetime
v_2, 1, 2019-07-18 18:03:33.490145
v_3, 2, 2019-07-18 18:03:34.509506
v_14, 3, 2019-07-18 18:03:37.738524
v_19, 4, 2019-07-18 18:03:40.608700
v_26, 5, 2019-07-18 18:03:43.005270
v_31, 6, 2019-07-18 18:03:50.609110
v_36, 7, 2019-07-18 18:04:02.962898
v_39, 8, 2019-07-18 18:04:04.845055
v_42, 9, 2019-07-18 18:04:10.337999
v_45, 10, 2019-07-18 18:04:15.840973
v_49, 11, 2019-07-18 18:04:26.049656
v_58, 12, 2019-07-18 18:04:34.006788
v_59, 13, 2019-07-18 18:04:35.569329
v_62, 14, 2019-07-18 18:04:38.982771
v_68, 15, 2019-07-18 18:05:06.235529
v_72, 16, 2019-07-18 18:05:15.852748
v_75, 17, 2019-07-18 18:05:20.859578
v_86, 18, 2019-07-18 18:05:26.314485
v_95, 19, 2019-07-18 18:05:28.331390
v_99, 20, 2019-07-18 18:05:29.873003
v_106, 21, 2019-07-18 18:05:33.371144
v_111, 22, 2019-07-18 18:06:04.246453
v_113, 23, 2019-07-18 18:06:06.603873
v_116, 24, 2019-07-18 18:06:18.091733
v_118, 25, 2019-07-18 18:06:25.425608
v_126, 26, 2019-07-18 18:06:41.512097
v_139, 27, 2019-07-18 18:06:48.729684
v_143, 28, 2019-07-18 18:06:52.475165
v_149, 29, 2019-07-18 18:06:56.749003
v_152, 30, 2019-07-18 18:06:58.910806
v_179, 31, 2019-07-18 18:07:34.118120
v_188, 32, 2019-07-18 18:07:46.541497
v_197, 33, 2019-07-18 18:07:57.677599
v_199, 34, 2019-07-18 18:07:59.964772
