vehicle_id, count, datetime
v_1, 1, 2019-07-17 00:51:46.852495
v_9, 2, 2019-07-17 00:52:07.637210
v_13, 3, 2019-07-17 00:52:19.022889
v_16, 4, 2019-07-17 00:52:25.699533
v_59, 5, 2019-07-17 00:55:31.308438
v_65, 6, 2019-07-17 00:55:44.008780
v_68, 7, 2019-07-17 00:55:46.317707
v_71, 8, 2019-07-17 00:56:02.122684
v_77, 9, 2019-07-17 00:56:09.287000
v_90, 10, 2019-07-17 00:56:32.510415
v_102, 11, 2019-07-17 00:56:46.883844
v_112, 12, 2019-07-17 00:57:04.673703
v_116, 13, 2019-07-17 00:57:25.038037
v_137, 14, 2019-07-17 00:58:45.681514
v_149, 15, 2019-07-17 00:58:54.868787
v_163, 16, 2019-07-17 00:59:32.979438
v_171, 17, 2019-07-17 01:00:16.968008
v_177, 18, 2019-07-17 01:00:26.185204
v_184, 19, 2019-07-17 01:00:41.007264
v_185, 20, 2019-07-17 01:00:47.898930
