vehicle_id, count, datetime
v_10, 1, 2019-07-18 18:08:21.122133
v_15, 2, 2019-07-18 18:08:40.103963
v_20, 3, 2019-07-18 18:08:42.428870
v_34, 4, 2019-07-18 18:09:16.709626
v_39, 5, 2019-07-18 18:09:19.500260
v_54, 6, 2019-07-18 18:09:32.475700
v_58, 7, 2019-07-18 18:09:38.904737
v_70, 8, 2019-07-18 18:10:07.716428
v_81, 9, 2019-07-18 18:10:09.126496
v_86, 10, 2019-07-18 18:10:13.998597
v_89, 11, 2019-07-18 18:10:16.070896
v_93, 12, 2019-07-18 18:10:19.260310
v_110, 13, 2019-07-18 18:11:16.550620
v_115, 14, 2019-07-18 18:11:23.772521
v_142, 15, 2019-07-18 18:12:05.393189
v_146, 16, 2019-07-18 18:12:09.007039
v_152, 17, 2019-07-18 18:12:22.289167
v_157, 18, 2019-07-18 18:12:35.315967
