vehicle_id, count, datetime
v_3, 1, 2019-07-16 19:10:02.820024
v_8, 2, 2019-07-16 19:10:59.966857
v_27, 3, 2019-07-16 19:11:22.827971
v_26, 4, 2019-07-16 19:11:30.067127
v_29, 5, 2019-07-16 19:11:36.022336
v_51, 6, 2019-07-16 19:15:13.520917
v_55, 7, 2019-07-16 19:15:40.084061
v_66, 8, 2019-07-16 19:16:23.985286
v_72, 9, 2019-07-16 19:16:40.971670
v_75, 10, 2019-07-16 19:16:55.754644
v_78, 11, 2019-07-16 19:17:06.444764
v_81, 12, 2019-07-16 19:17:15.817097
v_89, 13, 2019-07-16 19:17:27.156027
v_87, 14, 2019-07-16 19:17:33.023346
v_91, 15, 2019-07-16 19:17:37.677811
v_96, 16, 2019-07-16 19:17:47.809462
v_107, 17, 2019-07-16 19:20:22.064494
v_115, 18, 2019-07-16 19:20:41.183317
v_118, 19, 2019-07-16 19:20:41.212750
v_119, 20, 2019-07-16 19:20:51.395733
