vehicle_id, count, datetime
v_4, 1, 2019-07-18 14:46:53.738210
v_16, 2, 2019-07-18 14:47:42.451753
v_19, 3, 2019-07-18 14:47:50.530757
v_36, 4, 2019-07-18 14:48:04.379841
v_41, 5, 2019-07-18 14:48:08.681445
v_48, 6, 2019-07-18 14:48:14.409064
v_52, 7, 2019-07-18 14:48:16.932026
v_58, 8, 2019-07-18 14:48:38.047361
v_75, 9, 2019-07-18 14:48:48.796195
v_112, 10, 2019-07-18 14:49:30.458130
v_116, 11, 2019-07-18 14:49:35.114021
v_122, 12, 2019-07-18 14:49:41.169445
v_126, 13, 2019-07-18 14:49:42.100077
v_138, 14, 2019-07-18 14:50:13.790534
v_178, 15, 2019-07-18 14:50:41.634042
v_187, 16, 2019-07-18 14:50:46.125731
v_207, 17, 2019-07-18 14:50:56.028328
