vehicle_id, count, datetime
v_5, 1, 2019-07-18 18:45:10.752133
v_11, 2, 2019-07-18 18:45:33.706900
v_14, 3, 2019-07-18 18:45:36.073475
v_52, 4, 2019-07-18 18:46:07.836603
v_57, 5, 2019-07-18 18:46:15.458025
v_91, 6, 2019-07-18 18:46:53.052690
v_92, 7, 2019-07-18 18:46:57.230138
v_95, 8, 2019-07-18 18:46:59.240203
v_97, 9, 2019-07-18 18:47:08.375691
v_118, 10, 2019-07-18 18:47:55.021041
v_121, 11, 2019-07-18 18:47:59.370732
v_129, 12, 2019-07-18 18:48:08.925042
v_135, 13, 2019-07-18 18:48:13.425338
v_138, 14, 2019-07-18 18:48:16.780054
v_140, 15, 2019-07-18 18:48:19.940519
v_146, 16, 2019-07-18 18:48:24.430192
v_150, 17, 2019-07-18 18:48:30.934542
v_155, 18, 2019-07-18 18:48:34.751500
