vehicle_id, count, datetime
v_1, 1, 2019-12-17 11:40:32.797941
v_5, 2, 2019-12-17 11:41:09.475253
v_6, 3, 2019-12-17 11:41:12.070872
v_14, 4, 2019-12-17 11:42:06.096529
v_33, 5, 2019-12-17 11:44:50.649142
v_34, 6, 2019-12-17 11:44:51.705475
v_51, 7, 2019-12-17 11:47:16.983446
v_52, 8, 2019-12-17 11:47:26.219821
v_56, 9, 2019-12-17 11:47:33.917256
v_59, 10, 2019-12-17 11:47:48.081126
v_60, 11, 2019-12-17 11:47:55.256317
v_62, 12, 2019-12-17 11:48:14.827735
v_63, 13, 2019-12-17 11:48:24.792130
v_64, 14, 2019-12-17 11:48:33.401919
v_65, 15, 2019-12-17 11:48:42.279050
v_66, 16, 2019-12-17 11:48:48.408060
v_67, 17, 2019-12-17 11:48:59.364189
v_88, 18, 2019-12-17 11:53:05.368845
