vehicle_id, count, datetime
v_13, 1, 2019-07-18 19:28:08.509062
v_15, 2, 2019-07-18 19:28:12.058484
v_21, 3, 2019-07-18 19:28:17.164011
v_26, 4, 2019-07-18 19:28:53.917685
v_35, 5, 2019-07-18 19:29:09.579862
v_63, 6, 2019-07-18 19:29:17.166664
v_62, 7, 2019-07-18 19:29:18.714942
v_111, 8, 2019-07-18 19:30:04.019608
v_126, 9, 2019-07-18 19:30:13.422832
v_131, 10, 2019-07-18 19:30:15.650153
v_136, 11, 2019-07-18 19:30:19.394338
v_143, 12, 2019-07-18 19:30:22.546793
v_149, 13, 2019-07-18 19:30:26.282797
v_150, 14, 2019-07-18 19:30:28.777251
v_163, 15, 2019-07-18 19:30:40.744078
v_170, 16, 2019-07-18 19:30:43.863970
v_171, 17, 2019-07-18 19:30:45.652357
v_172, 18, 2019-07-18 19:30:49.228982
v_178, 19, 2019-07-18 19:30:53.609524
v_181, 20, 2019-07-18 19:30:58.034548
v_186, 21, 2019-07-18 19:31:01.503162
v_191, 22, 2019-07-18 19:31:05.374854
v_197, 23, 2019-07-18 19:31:13.909346
v_206, 24, 2019-07-18 19:31:27.802571
v_221, 25, 2019-07-18 19:31:50.601938
v_229, 26, 2019-07-18 19:31:53.539693
v_258, 27, 2019-07-18 19:32:11.980524
v_259, 28, 2019-07-18 19:32:15.816131
v_266, 29, 2019-07-18 19:32:26.377185
v_272, 30, 2019-07-18 19:32:36.640109
v_277, 31, 2019-07-18 19:32:39.360596
v_271, 32, 2019-07-18 19:32:41.001533
