vehicle_id, count, datetime
v_7, 1, 2019-07-18 15:30:51.761782
v_12, 2, 2019-07-18 15:30:54.407670
v_18, 3, 2019-07-18 15:30:57.168248
v_20, 4, 2019-07-18 15:30:59.932907
v_29, 5, 2019-07-18 15:31:06.359825
v_33, 6, 2019-07-18 15:31:08.977335
v_46, 7, 2019-07-18 15:31:31.660025
v_49, 8, 2019-07-18 15:31:34.313806
v_51, 9, 2019-07-18 15:31:35.373257
v_60, 10, 2019-07-18 15:31:42.692669
v_64, 11, 2019-07-18 15:31:46.616444
v_79, 12, 2019-07-18 15:32:13.979078
v_90, 13, 2019-07-18 15:32:28.081711
v_98, 14, 2019-07-18 15:32:58.261615
v_100, 15, 2019-07-18 15:33:01.399002
v_103, 16, 2019-07-18 15:33:16.327255
v_110, 17, 2019-07-18 15:33:23.743234
v_115, 18, 2019-07-18 15:33:25.658731
v_136, 19, 2019-07-18 15:33:37.261211
v_149, 20, 2019-07-18 15:34:01.975232
v_156, 21, 2019-07-18 15:34:12.755603
v_161, 22, 2019-07-18 15:34:16.959440
v_170, 23, 2019-07-18 15:34:29.507118
