vehicle_id, count, datetime
v_1, 1, 2019-07-18 16:43:04.721454
v_4, 2, 2019-07-18 16:43:05.560158
v_9, 3, 2019-07-18 16:43:09.057140
v_15, 4, 2019-07-18 16:43:18.138931
v_17, 5, 2019-07-18 16:43:21.313659
v_77, 6, 2019-07-18 16:44:23.409392
v_80, 7, 2019-07-18 16:44:23.956614
v_87, 8, 2019-07-18 16:44:29.875262
v_94, 9, 2019-07-18 16:44:30.771428
v_91, 10, 2019-07-18 16:44:31.251216
v_96, 11, 2019-07-18 16:44:32.960019
v_99, 12, 2019-07-18 16:44:40.544539
v_101, 13, 2019-07-18 16:44:48.924302
v_108, 14, 2019-07-18 16:44:56.024088
v_107, 15, 2019-07-18 16:44:57.371788
v_113, 16, 2019-07-18 16:45:29.910738
v_134, 17, 2019-07-18 16:45:55.690595
v_144, 18, 2019-07-18 16:46:05.656546
v_154, 19, 2019-07-18 16:46:14.107139
v_158, 20, 2019-07-18 16:46:17.366466
v_187, 21, 2019-07-18 16:46:36.132427
v_188, 22, 2019-07-18 16:46:50.306666
v_189, 23, 2019-07-18 16:46:50.830166
v_204, 24, 2019-07-18 16:47:16.664684
v_215, 25, 2019-07-18 16:47:31.628696
v_214, 26, 2019-07-18 16:47:35.935366
v_218, 27, 2019-07-18 16:47:39.416795
v_225, 28, 2019-07-18 16:47:44.823770
