vehicle_id, count, datetime
v_1, 1, 2019-07-18 16:33:32.382719
v_6, 2, 2019-07-18 16:33:34.803989
v_15, 3, 2019-07-18 16:33:45.407901
v_17, 4, 2019-07-18 16:34:08.107819
v_55, 5, 2019-07-18 16:35:01.093398
v_60, 6, 2019-07-18 16:35:08.790888
v_63, 7, 2019-07-18 16:35:10.536969
v_71, 8, 2019-07-18 16:35:14.385757
v_76, 9, 2019-07-18 16:35:21.859087
v_74, 10, 2019-07-18 16:35:22.732328
v_77, 11, 2019-07-18 16:35:23.156075
v_86, 12, 2019-07-18 16:35:58.358022
v_95, 13, 2019-07-18 16:36:21.044403
v_98, 14, 2019-07-18 16:36:25.236005
v_105, 15, 2019-07-18 16:36:27.168603
v_106, 16, 2019-07-18 16:36:28.255303
v_107, 17, 2019-07-18 16:36:30.600827
v_151, 18, 2019-07-18 16:38:14.162378
v_158, 19, 2019-07-18 16:38:27.628360
v_163, 20, 2019-07-18 16:38:33.198391
v_165, 21, 2019-07-18 16:38:36.026849
v_166, 22, 2019-07-18 16:38:36.367148
