vehicle_id, count, datetime
v_1, 1, 2019-07-17 21:32:06.880132
v_18, 2, 2019-07-17 21:35:18.131645
v_17, 3, 2019-07-17 21:35:24.464181
v_25, 4, 2019-07-17 21:35:42.445886
v_26, 5, 2019-07-17 21:35:49.793778
v_29, 6, 2019-07-17 21:36:07.626060
v_31, 7, 2019-07-17 21:36:34.695876
v_33, 8, 2019-07-17 21:36:59.851806
v_37, 9, 2019-07-17 21:37:43.648995
v_40, 10, 2019-07-17 21:38:53.747356
v_45, 11, 2019-07-17 21:39:47.305644
v_52, 12, 2019-07-17 21:41:54.410369
v_54, 13, 2019-07-17 21:42:03.480340
v_60, 14, 2019-07-17 21:43:08.436191
v_61, 15, 2019-07-17 21:43:09.655081
