vehicle_id, count, datetime
v_15, 1, 2019-07-18 16:19:51.612757
v_21, 2, 2019-07-18 16:19:55.354611
v_27, 3, 2019-07-18 16:20:01.802892
v_30, 4, 2019-07-18 16:20:12.999978
v_50, 5, 2019-07-18 16:20:38.942941
v_54, 6, 2019-07-18 16:20:39.840532
v_59, 7, 2019-07-18 16:20:42.159415
v_65, 8, 2019-07-18 16:20:49.340064
v_68, 9, 2019-07-18 16:20:54.324783
v_74, 10, 2019-07-18 16:21:02.466120
v_85, 11, 2019-07-18 16:21:18.657031
v_86, 12, 2019-07-18 16:21:18.709421
v_92, 13, 2019-07-18 16:21:36.423226
v_113, 14, 2019-07-18 16:21:54.956268
v_124, 15, 2019-07-18 16:22:00.253396
v_125, 16, 2019-07-18 16:22:00.591443
v_130, 17, 2019-07-18 16:22:12.681785
v_138, 18, 2019-07-18 16:22:37.273013
v_141, 19, 2019-07-18 16:22:42.899974
v_146, 20, 2019-07-18 16:23:12.590688
v_151, 21, 2019-07-18 16:23:14.949638
v_159, 22, 2019-07-18 16:23:30.383237
v_164, 23, 2019-07-18 16:23:37.838688
v_166, 24, 2019-07-18 16:23:40.811124
