vehicle_id, count, datetime
v_6, 1, 2019-07-18 19:43:29.851141
v_14, 2, 2019-07-18 19:44:10.144324
v_18, 3, 2019-07-18 19:44:23.244804
v_21, 4, 2019-07-18 19:44:24.112104
v_65, 5, 2019-07-18 19:45:02.543041
v_73, 6, 2019-07-18 19:45:05.223384
v_79, 7, 2019-07-18 19:45:25.130106
v_84, 8, 2019-07-18 19:45:47.850444
v_86, 9, 2019-07-18 19:45:50.386495
v_101, 10, 2019-07-18 19:46:18.360062
v_105, 11, 2019-07-18 19:46:20.217710
v_108, 12, 2019-07-18 19:46:22.707323
v_111, 13, 2019-07-18 19:46:27.296374
v_120, 14, 2019-07-18 19:46:49.921175
v_134, 15, 2019-07-18 19:47:35.763400
v_146, 16, 2019-07-18 19:47:59.446188
v_155, 17, 2019-07-18 19:48:03.273444
v_165, 18, 2019-07-18 19:48:08.841823
v_175, 19, 2019-07-18 19:48:11.353073
