vehicle_id, count, datetime
v_1, 1, 2019-12-17 10:47:26.461330
v_4, 2, 2019-12-17 10:48:47.498548
v_7, 3, 2019-12-17 10:49:20.573275
v_9, 4, 2019-12-17 10:49:49.783043
v_11, 5, 2019-12-17 10:49:54.626933
v_13, 6, 2019-12-17 10:50:01.813814
v_16, 7, 2019-12-17 10:50:23.686773
v_18, 8, 2019-12-17 10:50:34.061668
v_19, 9, 2019-12-17 10:50:41.369726
v_24, 10, 2019-12-17 10:50:57.879321
v_25, 11, 2019-12-17 10:51:12.056089
v_31, 12, 2019-12-17 10:52:35.885516
v_32, 13, 2019-12-17 10:52:42.669417
v_34, 14, 2019-12-17 10:53:05.607804
v_35, 15, 2019-12-17 10:53:15.010857
v_37, 16, 2019-12-17 10:53:29.501079
v_39, 17, 2019-12-17 10:53:33.046910
v_41, 18, 2019-12-17 10:53:42.453923
v_42, 19, 2019-12-17 10:54:24.310764
v_55, 20, 2019-12-17 10:57:12.358935
v_61, 21, 2019-12-17 10:58:10.492498
v_63, 22, 2019-12-17 10:58:25.169520
