vehicle_id, count, datetime
v_1, 1, 2019-07-18 17:30:17.060583
v_9, 2, 2019-07-18 17:30:23.310186
v_13, 3, 2019-07-18 17:30:25.613150
v_17, 4, 2019-07-18 17:30:27.946251
v_22, 5, 2019-07-18 17:30:30.628673
v_59, 6, 2019-07-18 17:31:26.555215
v_66, 7, 2019-07-18 17:31:35.841443
v_73, 8, 2019-07-18 17:31:42.092062
v_77, 9, 2019-07-18 17:31:46.984096
v_81, 10, 2019-07-18 17:31:53.336867
v_83, 11, 2019-07-18 17:32:00.028860
v_86, 12, 2019-07-18 17:32:36.423438
v_91, 13, 2019-07-18 17:32:41.798283
v_107, 14, 2019-07-18 17:33:11.100475
v_110, 15, 2019-07-18 17:33:14.798963
v_111, 16, 2019-07-18 17:33:19.479278
v_117, 17, 2019-07-18 17:33:24.948358
v_122, 18, 2019-07-18 17:33:27.926511
v_128, 19, 2019-07-18 17:33:31.157816
v_130, 20, 2019-07-18 17:33:32.987808
v_132, 21, 2019-07-18 17:33:35.767261
v_134, 22, 2019-07-18 17:33:38.202536
v_139, 23, 2019-07-18 17:33:43.671397
v_141, 24, 2019-07-18 17:33:47.000215
v_144, 25, 2019-07-18 17:34:23.314309
v_152, 26, 2019-07-18 17:34:49.830964
v_162, 27, 2019-07-18 17:34:56.930014
v_157, 28, 2019-07-18 17:34:57.291881
