vehicle_id, count, datetime
v_4, 1, 2019-07-18 15:16:55.453142
v_3, 2, 2019-07-18 15:16:57.747690
v_31, 3, 2019-07-18 15:17:08.394028
v_36, 4, 2019-07-18 15:17:18.738826
v_58, 5, 2019-07-18 15:18:07.583435
v_52, 6, 2019-07-18 15:18:07.700242
v_60, 7, 2019-07-18 15:18:10.199027
v_63, 8, 2019-07-18 15:18:12.764353
v_65, 9, 2019-07-18 15:18:15.052587
v_99, 10, 2019-07-18 15:19:11.163142
v_105, 11, 2019-07-18 15:19:22.083772
v_107, 12, 2019-07-18 15:19:24.632490
v_111, 13, 2019-07-18 15:19:36.243190
v_116, 14, 2019-07-18 15:19:42.769405
v_128, 15, 2019-07-18 15:20:09.929213
v_145, 16, 2019-07-18 15:20:26.448582
v_146, 17, 2019-07-18 15:20:28.103301
v_152, 18, 2019-07-18 15:20:29.646395
v_160, 19, 2019-07-18 15:20:32.015752
v_164, 20, 2019-07-18 15:20:33.745577
